animal_id,animal_type,sex,age,color,outcome,outcome_month,outcome_year,mix,outcome_datetime_ChristmasEve,outcome_datetime_NewYearsDay,outcome_datetime_USChristmasDay,outcome_datetime_USThanksgivingDay
A671945,Dog,Neutered Male,1,Multiple colors,Return_to_owner,2,2014,Mix,0,0,0,0
A656520,Cat,Spayed Female,1,Tabby,Euthanasia,10,2013,Mix,0,0,0,0
A686464,Dog,Neutered Male,2,Multiple colors,Adoption,1,2015,Mix,0,0,0,0
A683430,Cat,Intact Male,0.05753419928695949,Blue,Transfer,7,2014,Mix,0,0,0,0
A667013,Dog,Neutered Male,2,Tan,Transfer,11,2013,Mix,0,0,0,0
A677334,Dog,Intact Female,0.08333333333333333,Multiple colors,Transfer,4,2014,Mix,0,0,0,0
A699218,Cat,Intact Male,0.05753419928695949,Tabby,Transfer,3,2015,Mix,0,0,0,0
A701489,Cat,Unknown,0.05753419928695949,Tabby,Transfer,4,2015,Mix,0,0,0,0
A671784,Dog,Spayed Female,0.4166666666666667,Multiple colors,Adoption,2,2014,Mix,0,0,0,0
A677747,Dog,Spayed Female,1,White,Adoption,5,2014,NA,0,0,0,0
A668402,Cat,Unknown,2,Black,Transfer,12,2013,Mix,0,0,0,0
A666320,Dog,Spayed Female,2,Silver,Adoption,11,2013,Mix,0,0,0,0
A684601,Dog,Neutered Male,4,Brown,Adoption,2,2016,Mix,0,0,0,0
A704702,Dog,Neutered Male,2,Multiple colors,Return_to_owner,6,2015,Mix,0,0,0,0
A688584,Dog,Neutered Male,1,Multiple colors,Return_to_owner,11,2015,Mix,0,0,0,0
A678825,Cat,Neutered Male,0.25,Tabby,Adoption,7,2014,Mix,0,0,0,0
A678050,Cat,Intact Male,0.05753419928695949,Tabby,Transfer,5,2014,Mix,0,0,0,0
A680028,Dog,Intact Female,0.03835613285797299,Multiple colors,Transfer,6,2014,Mix,0,0,0,0
A679010,Cat,Intact Female,2,White,Transfer,5,2014,Mix,0,0,0,0
A684787,Dog,Neutered Male,1,Black,Return_to_owner,7,2014,Mix,0,0,0,0
A670658,Dog,Intact Male,0.16666666666666666,Multiple colors,Transfer,1,2014,Mix,0,0,0,0
A708812,Cat,Spayed Female,1,White,Transfer,9,2015,Mix,0,0,0,0
A705262,Dog,Spayed Female,2,Brindle,Adoption,8,2015,Mix,0,0,0,0
A665781,Dog,Neutered Male,0.8333333333333334,Multiple colors,Adoption,10,2013,Mix,0,0,0,0
A676333,Dog,Neutered Male,0.16666666666666666,Multiple colors,Return_to_owner,4,2014,Mix,0,0,0,0
A712750,Cat,Intact Female,0.08333333333333333,Tabby,Transfer,10,2015,Mix,0,0,0,0
A718832,Dog,Spayed Female,0.5,Multiple colors,Adoption,1,2016,Mix,0,0,0,0
A698777,Dog,Spayed Female,5,Multiple colors,Adoption,3,2015,Mix,0,0,0,0
A715348,Cat,Spayed Female,0.16666666666666666,Tabby,Adoption,11,2015,Mix,0,0,0,0
A708666,Cat,Neutered Male,7,Blue,Return_to_owner,7,2015,Mix,0,0,0,0
A718535,Cat,Spayed Female,3,Calico,Euthanasia,1,2016,Mix,0,1,0,0
A707341,Dog,Intact Male,0.3333333333333333,Multiple colors,Transfer,7,2015,Mix,0,0,0,0
A682532,Cat,Spayed Female,0.16666666666666666,Tortie/Torbie,Adoption,7,2014,Mix,0,0,0,0
A666825,Dog,Neutered Male,5,Multiple colors,Return_to_owner,11,2013,Mix,0,0,0,0
A699723,Dog,Neutered Male,3,Brown,Transfer,4,2015,Mix,0,0,0,0
A668626,Dog,Intact Male,3,Yellow,Euthanasia,12,2013,Mix,0,0,0,0
A657085,Dog,Neutered Male,3,Multiple colors,Return_to_owner,10,2013,Mix,0,0,0,0
A682413,Cat,Intact Male,0.16666666666666666,Multiple colors,Transfer,7,2014,Mix,0,0,0,0
A702655,Cat,Neutered Male,0.3333333333333333,Multiple colors,Transfer,8,2015,Mix,0,0,0,0
A707503,Cat,Intact Male,0.05753419928695949,Tabby,Transfer,7,2015,Mix,0,0,0,0
A697199,Cat,Spayed Female,7,Tabby,Adoption,4,2015,Mix,0,0,0,0
A705598,Cat,Intact Male,0.16666666666666666,Tabby,Transfer,6,2015,Mix,0,0,0,0
A668388,Cat,Intact Female,0.16666666666666666,Tabby,Transfer,12,2013,Mix,0,0,0,0
A671181,Cat,Intact Male,4,Multiple colors,Transfer,1,2014,Mix,0,0,0,0
A676766,Cat,Neutered Male,2,Multiple colors,Adoption,5,2014,Mix,0,0,0,0
A686716,Dog,Neutered Male,12,Tricolor,Return_to_owner,8,2014,NA,0,0,0,0
A684475,Cat,Spayed Female,9,Multiple colors,Return_to_owner,8,2014,Mix,0,0,0,0
A701804,Cat,Intact Female,0.05753419928695949,Black,Transfer,5,2015,Mix,0,0,0,0
A697852,Dog,Spayed Female,0.4166666666666667,Multiple colors,Adoption,3,2015,Mix,0,0,0,0
A666092,Dog,Intact Male,6,Multiple colors,Euthanasia,10,2013,Mix,0,0,0,0
A684050,Cat,Intact Female,1,Tortie/Torbie,Transfer,7,2014,Mix,0,0,0,0
A710107,Cat,Spayed Female,0.25,Tabby,Adoption,10,2015,Mix,0,0,0,0
A682347,Cat,Intact Female,0.05753419928695949,Tabby,Transfer,6,2014,Mix,0,0,0,0
A701627,Dog,Neutered Male,2,Multiple colors,Adoption,5,2015,Mix,0,0,0,0
A690902,Cat,Spayed Female,0.16666666666666666,Tabby,Adoption,11,2014,Mix,0,0,0,0
A712979,Cat,Intact Male,0.019178066428986496,Black,Transfer,10,2015,Mix,0,0,0,0
A707687,Cat,Spayed Female,0.16666666666666666,Calico,Adoption,8,2015,Mix,0,0,0,0
A683443,Dog,Intact Male,1,Tan,Transfer,7,2014,Mix,0,0,0,0
A597644,Dog,Spayed Female,4,Multiple colors,Return_to_owner,9,2014,Mix,0,0,0,0
A682784,Dog,Neutered Male,2,Multiple colors,Adoption,7,2014,Mix,0,0,0,0
A709863,Cat,Intact Male,1,Tabby,Transfer,8,2015,Mix,0,0,0,0
A678506,Dog,Spayed Female,11,Multiple colors,Euthanasia,5,2014,Mix,0,0,0,0
A713029,Cat,Intact Female,0.08333333333333333,Black,Transfer,10,2015,Mix,0,0,0,0
A712236,Dog,Spayed Female,2,Multiple colors,Adoption,9,2015,Mix,0,0,0,0
A683961,Cat,Unknown,0.03835613285797299,Black,Transfer,7,2014,Mix,0,0,0,0
A714740,Dog,Spayed Female,6,White,Return_to_owner,10,2015,Mix,0,0,0,0
A691847,Dog,Neutered Male,0.5,Multiple colors,Transfer,12,2014,Mix,0,0,0,0
A711392,Dog,Intact Female,0.16666666666666666,Buff,Transfer,9,2015,NA,0,0,0,0
A705258,Cat,Unknown,0.16666666666666666,Tabby,Transfer,6,2015,Mix,0,0,0,0
A678172,Dog,Spayed Female,1,Red,Adoption,5,2014,Mix,0,0,0,0
A676736,Dog,Neutered Male,0.16666666666666666,Brown,Adoption,4,2014,Mix,0,0,0,0
A701575,Dog,Neutered Male,2,Brindle,Transfer,1,2016,Mix,0,0,0,0
A674913,Dog,Spayed Female,3,White,Adoption,3,2014,Mix,0,0,0,0
A706446,Cat,Intact Female,1,Black,Return_to_owner,8,2015,Mix,0,0,0,0
A669540,Dog,Spayed Female,4,Multiple colors,Return_to_owner,12,2013,Mix,0,0,0,0
A709371,Dog,Spayed Female,2,Tan,Transfer,8,2015,Mix,0,0,0,0
A681410,Cat,Spayed Female,0.25,Tabby,Adoption,6,2014,NA,0,0,0,0
A675021,Cat,Intact Female,1,Calico,Euthanasia,3,2014,Mix,0,0,0,0
A704179,Dog,Neutered Male,0.16666666666666666,Black,Adoption,6,2015,Mix,0,0,0,0
A717839,Cat,Spayed Female,2,Multiple colors,Transfer,12,2015,Mix,0,0,0,0
A700740,Dog,Neutered Male,1,White,Adoption,12,2015,NA,0,0,0,0
A712376,Cat,Unknown,0.03835613285797299,Tabby,Euthanasia,9,2015,Mix,0,0,0,0
A703952,Cat,Unknown,0.07671226571594598,Point,Transfer,5,2015,Mix,0,0,0,0
A713690,Cat,Intact Male,2,Tabby,Transfer,10,2015,Mix,0,0,0,0
A691838,Dog,Neutered Male,12,Brindle,Euthanasia,2,2015,Mix,0,0,0,0
A687789,Dog,Neutered Male,1,Multiple colors,Adoption,9,2014,Mix,0,0,0,0
A704754,Cat,Neutered Male,0.16666666666666666,Black,Adoption,7,2015,Mix,0,0,0,0
A707531,Cat,Intact Male,0.03835613285797299,Black,Transfer,7,2015,Mix,0,0,0,0
A677594,Dog,Intact Female,0.25,Multiple colors,Transfer,4,2014,Mix,0,0,0,0
A667155,Cat,Spayed Female,0.25,Calico,Adoption,11,2013,Mix,0,0,0,0
